category,subcategory,product_type,label,sub_label,price_with_discount,price_before_discount,real_price,quantity,img
"Aceite, especias y salsas","Aceite, vinagre y sal",Aceite de oliva,"Aceite de oliva 0,4º Hacendado",Botella 1 L,"6,75","7,09",, /ud.,https://prod-mercadona.imgix.net/images/25cc7d7c31cfba8b33e543ac9a6ccff4.jpg?fit=crop&h=300&w=300
"Aceite, especias y salsas","Aceite, vinagre y sal",Aceite de oliva,Aceite de oliva virgen extra Hacendado,Garrafa 3 L,"25,95","27,23",, /ud.,https://prod-mercadona.imgix.net/images/8a31c3dd33c87ea2bdaaded76bb2eb6a.jpg?fit=crop&h=300&w=300
"Aceite, especias y salsas","Aceite, vinagre y sal",Aceite de oliva,Aceite de oliva virgen extra Hacendado,Botella 1 L,"8,85","9,13",, /ud.,https://prod-mercadona.imgix.net/images/aadc4fb7daf30d5f705d270a10ec8e7a.jpg?fit=crop&h=300&w=300
"Aceite, especias y salsas","Aceite, vinagre y sal",Aceite de oliva,Aceite de oliva virgen extra Hacendado Gran Selección,Botella 750 ml,,,"7,75", /ud.,https://prod-mercadona.imgix.net/images/ca971ebf519d62b535e1d0ad05ebd394.jpg?fit=crop&h=300&w=300
"Aceite, especias y salsas","Aceite, vinagre y sal",Aceite de oliva,Aceite de oliva 1º Hacendado,Botella 1 L,"6,75","7,09",, /ud.,https://prod-mercadona.imgix.net/images/1a7146af03111cefbf7f8abd308dd799.jpg?fit=crop&h=300&w=300
"Aceite, especias y salsas","Aceite, vinagre y sal",Aceite de oliva,Aceite de oliva virgen Hacendado,Garrafa 3 L,"22,50","23,87",, /ud.,https://prod-mercadona.imgix.net/images/25221766e713f1ce7f32de92cf3ac2ef.jpg?fit=crop&h=300&w=300
"Aceite, especias y salsas","Aceite, vinagre y sal",Aceite de oliva,Aceite de oliva virgen Hacendado,Botella 1 L,"7,75","8,06",, /ud.,https://prod-mercadona.imgix.net/images/0b39ce0b01fa8d0ff5caf7045fc5a716.jpg?fit=crop&h=300&w=300
"Aceite, especias y salsas","Aceite, vinagre y sal",Aceite de oliva,Aceite de oliva suave Hacendado,Garrafa 3 L,"19,35","20,25",, /ud.,https://prod-mercadona.imgix.net/images/617bf49db3b4f79f5e311007e8cee4ab.jpg?fit=crop&h=300&w=300
"Aceite, especias y salsas","Aceite, vinagre y sal",Aceite de oliva,Aceite de oliva intenso Hacendado,Garrafa 3 L,"19,35","20,25",, /ud.,https://prod-mercadona.imgix.net/images/bbfe2ec5cc49633c1e2d9988feb58932.jpg?fit=crop&h=300&w=300
"Aceite, especias y salsas","Aceite, vinagre y sal",Aceite de oliva,Aceite de oliva virgen extra Hacendado,Spray 200 ml,"2,90","3,06",, /ud.,https://prod-mercadona.imgix.net/images/3828beeb31145e948b4c611621162bfd.jpg?fit=crop&h=300&w=300
"Aceite, especias y salsas","Aceite, vinagre y sal",Aceite de oliva,Aceite de oliva virgen extra Picual Casa Juncal,Botella 500 ml,,,"7,45", /ud.,https://prod-mercadona.imgix.net/images/57c541a2fdb98be59dd3c91185658181.jpg?fit=crop&h=300&w=300
"Aceite, especias y salsas","Aceite, vinagre y sal","Aceite de girasol, semillas y maíz","Aceite de girasol refinado 0,2º Hacendado",Garrafa 5 L,,,"6,91", /ud.,https://prod-mercadona.imgix.net/images/8c16a9c5fe8126141815ce55e50cbcba.jpg?fit=crop&h=300&w=300
"Aceite, especias y salsas","Aceite, vinagre y sal","Aceite de girasol, semillas y maíz","Aceite de girasol refinado 0,2º Hacendado",Botella 1 L,,,"1,48", /ud.,https://prod-mercadona.imgix.net/images/38334513c2db1608117eb6c2759439f2.jpg?fit=crop&h=300&w=300
"Aceite, especias y salsas","Aceite, vinagre y sal","Aceite de girasol, semillas y maíz",Aceite de coco virgen Hacendado,Bote 450 ml,,,"4,55", /ud.,https://prod-mercadona.imgix.net/images/4b73d0063a13ed91219d84e7dd70d22d.jpg?fit=crop&h=300&w=300
"Aceite, especias y salsas","Aceite, vinagre y sal",Vinagre y otros aderezos,Vinagre de vino blanco Hacendado,Botella 1 L,,,"0,65", /ud.,https://prod-mercadona.imgix.net/images/250d1f0a7c038903b5a819f4e9acdffd.jpg?fit=crop&h=300&w=300
"Aceite, especias y salsas","Aceite, vinagre y sal",Vinagre y otros aderezos,Vinagre de manzana Hacendado,Botella 1 L,,,"0,80", /ud.,https://prod-mercadona.imgix.net/images/ee715c402385a3cdd3b143d563f1e092.jpg?fit=crop&h=300&w=300
"Aceite, especias y salsas","Aceite, vinagre y sal",Vinagre y otros aderezos,Limón exprimido Hacendado,Botella 280 ml,,,"1,00", /ud.,https://prod-mercadona.imgix.net/images/1910ee61299100e2bca29c2b39fab7a5.jpg?fit=crop&h=300&w=300
"Aceite, especias y salsas","Aceite, vinagre y sal",Vinagre y otros aderezos,Crema de vinagre balsámico de Módena Hacendado,Botella 250 g,,,"1,75", /ud.,https://prod-mercadona.imgix.net/images/f38299e92edeb2b5c78eeb642f7e3752.jpg?fit=crop&h=300&w=300
